website,review_local_id,reviews_total,reviews_older,reviews_recent,early_prefixed_name,early_prefixed_style,v3_numeric_name_UNSAFE_JOIN,v3_numeric_source_UNSAFE_JOIN,v3_numeric_style_UNSAFE_JOIN,text_top_style,text_top_style_mentions,text_top_style_share,text_505_mentions,text_501_mentions,mapping_status
levis,0,159,102,57,527™ Slim Bootcut Men's Jeans,527,527™ Slim Bootcut Men's Jeans,1,527,505,21,0.1321,21,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,1,2549,2259,290,527™ Slim Bootcut Men's Jeans,527,527™ Slim Bootcut Men's Jeans,1,527,501,1167,0.4578,15,1167,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,5,2802,2063,739,559™ Relaxed Straight Fit Men's Jeans,559,527™ Slim Bootcut Men's Jeans,1,527,511,611,0.2181,14,38,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,6,1632,1250,382,511™ Slim Fit Men's Jeans,511,511™ Slim Fit Men's Jeans,1,511,541,302,0.185,11,19,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,11,945,719,226,559™ Relaxed Straight Fit Men's Jeans (big & Tall),559,Levi’s® Xx Chino Taper Fit Men's Shorts,1,,502,204,0.2159,7,27,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,12,2132,1797,335,512™ Slim Taper Fit Men's Jeans,512,527™ Slim Bootcut Men's Jeans,1,527,559,283,0.1327,7,13,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,14,9253,7767,1486,511™ Slim Fit Men's Jeans,511,311 Shaping Skinny Women's Jeans,1,311,505,2177,0.2353,2177,277,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,16,351,324,27,550™ Relaxed Fit Men's Jeans,550,314 Shaping Straight Women's Jeans,1,314,510,46,0.1311,1,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,17,541,375,166,Classic Straight Fit Women's Jeans,,502™ Taper Fit Men's Jeans,1,502,527,127,0.2348,2,6,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,23,347,268,79,314 Shaping Straight Women's Jeans,314,559™ Relaxed Straight Fit Men's Jeans,1,559,511,56,0.1614,3,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,24,292,182,110,502™ Taper Fit Men's Jeans,502,"469 Loose 12"" Men's Shorts",1,,510,59,0.2021,1,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,25,677,581,96,502™ Taper Fit Men's Jeans,502,311 Shaping Skinny Capri Women's Jeans,1,311,550,90,0.1329,2,6,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,27,1280,1048,232,502™ Taper Fit Men's Jeans,502,721 High Rise Skinny Utility Women's Jeans,1,721,527,265,0.207,5,15,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,29,160,77,83,711 Skinny Women's Jeans,711,502™ Taper Fit Men's Jeans,1,502,541,37,0.2313,0,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,31,2,0,2,311 Shaping Skinny Capri Women's Jeans,311,541™ Athletic Taper Men's Jeans,1,541,502,2,1.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,32,446,311,135,311 Shaping Skinny Capri Women's Jeans,311,724 High Rise Straight Women's Jeans,1,724,512,7,0.0157,0,1,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,39,478,415,63,502™ Taper Fit Men's Jeans (big & Tall),502,510™ Skinny Fit Men's Jeans,1,510,512,89,0.1862,4,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,40,1,0,1,502™ Taper Fit Men's Jeans (big & Tall),502,501® Original Shrink-to-fit™ Men's Jeans,1,501,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,43,928,592,336,510™ Skinny Fit Men's Jeans,510,"501® Original Fit Hemmed 9"" Men's Shorts",1,501,512,174,0.1875,5,70,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,46,168,118,50,505™ Regular Fit Men's Jeans,505,505™ Regular Fit Men's Jeans,1,505,502,23,0.1369,0,2,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,47,454,400,54,"501® Original Fit Hemmed 9"" Men's Shorts",501,505™ Regular Fit Men's Jeans,1,505,501,93,0.2048,1,93,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,48,103,87,16,"501® Original Fit Hemmed 9"" Men's Shorts",501,505™ Regular Fit Men's Jeans,1,505,541,30,0.2913,1,4,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,51,373,193,180,505™ Regular Fit Men's Jeans,505,711 Skinny Women's Jeans,1,711,514,97,0.2601,6,13,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,56,210,157,53,711 Skinny Women's Jeans,711,511™ Slim Fit Men's Jeans,1,511,550,1,0.0048,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,59,3782,3421,361,501® Original Fit Men's Jeans (big & Tall),501,550™ Relaxed Fit Men's Jeans (big & Tall),1,550,550,752,0.1988,54,26,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,60,206,129,77,311 Shaping Skinny Capri Women's Jeans,311,550™ Relaxed Fit Men's Jeans (big & Tall),1,550,501,61,0.2961,1,61,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,63,147,139,8,550™ Relaxed Fit Men's Jeans (big & Tall),550,Wedgie Straight Fit Women's Jeans,1,,501,21,0.1429,4,21,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,64,395,318,77,Levi’s® Xx Chino Slim Taper Fit Men's Pants,,Superlow Flare Women's Jeans,1,,559,50,0.1266,1,3,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,71,148,108,40,318 Shaping Wide Leg Women's Jeans,,541™ Athletic Taper Men's Jeans,1,541,,0,0.0,0,0,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
levis,79,421,189,232,,,Trendy Plus Size 711 Skinny Jeans,2,711,501,5,0.0119,0,5,UNVERIFIED_REQUIRES_ORIGINAL_PRODUCT_URL_OR_EXPORT
